         4076295 function calls (3999034 primitive calls) in 8.830 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      386    0.010    0.000   12.284    0.032 __init__.py:1(<module>)
   3295/1    0.058    0.000    8.833    8.833 {built-in method builtins.exec}
        1    0.110    0.110    8.833    8.833 claims_2.py:1(<module>)
  3340/13    0.026    0.000    5.021    0.386 <frozen importlib._bootstrap>:1022(_find_and_load)
   3089/9    0.013    0.000    5.020    0.558 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
   2995/8    0.014    0.000    5.016    0.627 <frozen importlib._bootstrap>:664(_load_unlocked)
   2702/8    0.009    0.000    5.015    0.627 <frozen importlib._bootstrap_external>:877(exec_module)
   4083/8    0.003    0.000    4.985    0.623 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
       28    0.001    0.000    3.404    0.122 utils.py:1(<module>)
 1116/177    0.003    0.000    3.182    0.018 {built-in method builtins.__import__}
        1    0.000    0.000    2.888    2.888 claims.py:1(<module>)
3772/1293    0.007    0.000    2.843    0.002 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        4    0.016    0.004    1.921    0.480 parquet.py:498(read_parquet)
        4    0.000    0.000    1.772    0.443 parquet.py:239(read)
     2702    0.030    0.000    1.377    0.001 <frozen importlib._bootstrap_external>:950(get_code)
        4    1.008    0.252    1.017    0.254 pandas_compat.py:760(table_to_dataframe)
     2702    0.012    0.000    0.892    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
6515/6385    0.081    0.000    0.868    0.000 {built-in method builtins.__build_class__}
    24/14    0.000    0.000    0.842    0.060 metrics_util.py:358(wrapped_func)
       19    0.000    0.000    0.818    0.043 delta_generator.py:417(_enqueue)
        1    0.000    0.000    0.817    0.817 heading.py:43(header)
       19    0.000    0.000    0.817    0.043 delta_generator.py:121(_maybe_print_use_warning)
        1    0.000    0.000    0.783    0.783 env_util.py:39(is_repl)
        1    0.000    0.000    0.783    0.783 inspect.py:1671(stack)
        1    0.000    0.000    0.783    0.783 inspect.py:1643(getouterframes)
       13    0.000    0.000    0.783    0.060 inspect.py:1604(getframeinfo)
       13    0.000    0.000    0.782    0.060 inspect.py:932(findsource)
        1    0.000    0.000    0.766    0.766 readers.py:868(read_csv)
        1    0.005    0.005    0.766    0.766 readers.py:583(_read)
        1    0.000    0.000    0.755    0.755 readers.py:1907(read)
        4    0.000    0.000    0.752    0.188 core.py:1776(read_table)
     3053    0.025    0.000    0.732    0.000 <frozen importlib._bootstrap>:921(_find_spec)
       13    0.016    0.001    0.729    0.056 inspect.py:850(getmodule)
        1    0.000    0.000    0.727    0.727 relational.py:1(<module>)
        1    0.000    0.000    0.720    0.720 _statistics.py:1(<module>)
        1    0.000    0.000    0.690    0.690 rcmod.py:1(<module>)
        1    0.664    0.664    0.687    0.687 c_parser_wrapper.py:222(read)
     3030    0.003    0.000    0.684    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
     3031    0.011    0.000    0.682    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
     4111    0.037    0.000    0.622    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
        1    0.000    0.000    0.619    0.619 _stats_py.py:1(<module>)
    14267    0.597    0.000    0.597    0.000 {built-in method nt.stat}
2997/2986    0.006    0.000    0.554    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
        1    0.000    0.000    0.533    0.533 delta_generator.py:1(<module>)
        1    0.000    0.000    0.532    0.532 palettes.py:1(<module>)
        1    0.000    0.000    0.527    0.527 _force.py:1(<module>)
     3037    0.018    0.000    0.505    0.000 ntpath.py:667(realpath)
        2    0.000    0.000    0.495    0.248 pyplot.py:1(<module>)
    11314    0.008    0.000    0.492    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     2702    0.483    0.000    0.483    0.000 {built-in method io.open_code}
        9    0.000    0.000    0.473    0.053 api.py:1(<module>)
  422/399    0.001    0.000    0.465    0.001 __init__.py:108(import_module)
  442/399    0.001    0.000    0.464    0.001 <frozen importlib._bootstrap>:1038(_gcd_import)
        4    0.458    0.114    0.458    0.114 core.py:1420(read)
  267/265    0.001    0.000    0.439    0.002 <frozen importlib._bootstrap_external>:1174(create_module)
        1    0.000    0.000    0.438    0.438 embed.py:1(<module>)
  267/265    0.429    0.002    0.438    0.002 {built-in method _imp.create_dynamic}
     6074    0.426    0.000    0.426    0.000 {built-in method nt._getfinalpathname}
  267/212    0.001    0.000    0.393    0.002 <frozen importlib._bootstrap_external>:1182(exec_module)
  267/212    0.156    0.001    0.393    0.002 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.368    0.368 interpretability.py:1(<module>)
        2    0.000    0.000    0.349    0.174 interactiveshell.py:1(<module>)
     2702    0.333    0.000    0.333    0.000 {method 'read' of '_io.BufferedReader' objects}
      103    0.001    0.000    0.298    0.003 artist.py:159(_update_set_signature_and_docstring)
        4    0.012    0.003    0.294    0.074 core.py:1276(__init__)
      102    0.000    0.000    0.293    0.003 artist.py:126(__init_subclass__)
50056/47939    0.019    0.000    0.288    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.287    0.287 _explanation.py:1(<module>)
        1    0.000    0.000    0.276    0.276 _clustering.py:1(<module>)
        1    0.000    0.000    0.274    0.274 dataset.py:1(<module>)
     2702    0.008    0.000    0.266    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
        2    0.165    0.082    0.259    0.129 {built-in method _pickle.load}
     2702    0.253    0.000    0.253    0.000 {built-in method marshal.loads}
